"subject_id","story","social_interaction","relationship","likert_rating"
"1be883cc5b34d9c7a6f55b06acf1e62c","fundraising","no_interaction","asymmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","fundraising","no_interaction","symmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","fundraising","no_interaction","none",1
"1be883cc5b34d9c7a6f55b06acf1e62c","gifts","precedent","asymmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","gifts","precedent","symmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","gifts","precedent","none",1
"1be883cc5b34d9c7a6f55b06acf1e62c","conversation","precedent","asymmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","conversation","precedent","symmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","conversation","precedent","none",1
"1be883cc5b34d9c7a6f55b06acf1e62c","restaurant","no_interaction","asymmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","restaurant","no_interaction","symmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","restaurant","no_interaction","none",7
"1be883cc5b34d9c7a6f55b06acf1e62c","weekend","no_interaction","asymmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","weekend","no_interaction","symmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","weekend","no_interaction","none",7
"1be883cc5b34d9c7a6f55b06acf1e62c","babysitting","no_interaction","asymmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","babysitting","no_interaction","symmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","babysitting","no_interaction","none",7
"1be883cc5b34d9c7a6f55b06acf1e62c","family meals","precedent","asymmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","family meals","precedent","symmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","family meals","precedent","none",1
"1be883cc5b34d9c7a6f55b06acf1e62c","coffee","precedent","asymmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","coffee","precedent","symmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","coffee","precedent","none",1
"1be883cc5b34d9c7a6f55b06acf1e62c","meeting prep","reciprocity","asymmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","meeting prep","reciprocity","symmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","meeting prep","reciprocity","none",1
"1be883cc5b34d9c7a6f55b06acf1e62c","group project","reciprocity","asymmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","group project","reciprocity","symmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","group project","reciprocity","none",1
"1be883cc5b34d9c7a6f55b06acf1e62c","architects","no_interaction","asymmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","architects","no_interaction","symmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","architects","no_interaction","none",7
"1be883cc5b34d9c7a6f55b06acf1e62c","meeting location","reciprocity","asymmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","meeting location","reciprocity","symmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","meeting location","reciprocity","none",1
"1be883cc5b34d9c7a6f55b06acf1e62c","scheduling","no_interaction","asymmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","scheduling","no_interaction","symmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","scheduling","no_interaction","none",7
"1be883cc5b34d9c7a6f55b06acf1e62c","groceries","reciprocity","asymmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","groceries","reciprocity","symmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","groceries","reciprocity","none",1
"1be883cc5b34d9c7a6f55b06acf1e62c","housemates","precedent","asymmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","housemates","precedent","symmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","housemates","precedent","none",1
"1be883cc5b34d9c7a6f55b06acf1e62c","concerts","reciprocity","asymmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","concerts","reciprocity","symmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","concerts","reciprocity","none",1
"1be883cc5b34d9c7a6f55b06acf1e62c","police","precedent","asymmetric",1
"1be883cc5b34d9c7a6f55b06acf1e62c","police","precedent","symmetric",7
"1be883cc5b34d9c7a6f55b06acf1e62c","police","precedent","none",1
"1be883cc5b34d9c7a6f55b06acf1e62c","feedback","reciprocity","asymmetric",1
